圖片,品牌,產品名稱,口味,規格,營養素,子分類,價格,產品描述
"[""food_healthcare1_1_pic1.jpg""]",Hyperr 超躍,寵物保健品 - 心臟超好,"[""""]","[""30入/盒""]","[""""]","[""綜合營養""]",[580],● 心血管保健 有效護心● 維持血管 循環通暢● 幫助心肌正常收縮● 促進新陳代謝 心力充沛
"[""food_healthcare1_2_pic1.jpg""]",Hyperr 超躍,寵物保健品 - 心情超好,"[""""]","[""30入/盒""]","[""""]","[""紓壓""]",[520],● 心情超好 舒壓、放鬆好心情● 嚴選國際大廠專利成分● 調配有效複方● 專業獸醫師推薦
"[""food_healthcare1_3_pic1.jpg""]",Hyperr 超躍,寵物保健品 - 眼睛超好,"[""""]","[""30顆/罐""]","[""""]","[""眼睛""]",[450],● 護眼黃金配比● 9合1全消保健● 7大專利成分● 專業獸醫推薦
"[""food_healthcare1_4_pic1.jpg""]",Hyperr 超躍,寵物保健品 - 排毛超好,"[""""]","[""70g""]","[""""]","[""化毛"";""關節""]",[350],● 溫和排毛無負擔● 排便順暢好健康● 代謝體內髒東西● 專業獸醫推薦
"[""food_healthcare1_5_pic1.jpg""]",Hyperr 超躍,寵物保健品 - 紐西蘭綠唇貝油,"[""""]","[""30顆/盒""]","[""""]","[""關節""]",[790],● 呵護愛寵關節 維持靈巧跳躍力● 綠唇貝油保護關節 維持舒適自在● 高吸收率極效養護
"[""food_healthcare1_6_pic1.jpg"";""food_healthcare1_6_pic2.jpg""]",朝貢 조공,寵物保健食品 - 紅魚油,"[""紅魚油""]","[""60粒/盒"";""120粒/罐""]","[""omega-3""]","[""眼睛""]",[950;1150],● 最先進的超臨界萃取法● 原料和成品均通過IFOS5 star認證● 紅色Omega-3高EPA+DHA攝取量● 紅色Omega-3 mini 1cm大小，方便餵食● 含有高濃度蝦紅素，具抗氧化作用
"[""food_healthcare1_7_pic1.jpg"";""food_healthcare1_7_pic2.jpg""]",陪心寵糧,食補鮮三精 (三種口味),"[""鮮魚精 (鱸魚)"";""鮮牛精 (牛肉)"";""鮮雞精 (紅羽土雞)""]","[""45ml/10入""]","[""牛磺酸""]","[""綜合營養""]",[650;750;550],● 嚴選台灣土雞、鮮鱸魚、台灣牛● 無膽固醇、無脂肪、低熱量● 採用專業蒸煉技術，滿滿精華● 富含膠原蛋白、DHA 、鐵質、牛磺酸、鈣、磷、鐵● 絕無添加澱粉、穀物、香精、色素、防腐劑● 已投保產品責任險，適合全齡犬貓食用
"[""food_healthcare1_8_pic1.jpg"";""food_healthcare1_8_pic2.jpg""]",陪心寵糧,Plus+機能保健系列 泌尿道紓壓保健,"[""泌尿道紓壓保健""]","[""1.5g/30入""]","[""""]","[""泌尿道""]",[450],● 蔓越莓精萃 採用專利技術 保留整顆蔓越莓精華● 洛神花 富含維生素? 與多酚類 呵護膀胱系統● 南瓜籽萃取 富含色胺酸 安撫情緒、舒緩壓力
"[""food_healthcare1_9_pic1.jpg"";""food_healthcare1_9_pic2.jpg""]",毛孩時代,心臟專科保健粉,"[""心臟專科保健粉""]","[""1盒 (30包)"";""2盒 (60包)"";""5盒 (150包)"";""11盒 (330包)""]","[""""]","[""綜合營養""]",[720;1390;3390;6990],● 堅持使用天然萃取原料，滿足毛孩身體健康的需求● 日本專利Q10足量添加達到20mg● 使用業界活性最高美國納豆激酶● 添加足量專利沙棘果達到30mg
"[""food_healthcare1_10_pic1.jpg"";""food_healthcare1_10_pic2.jpg"";""food_healthcare1_10_pic3.jpg"";""food_healthcare1_10_pic4.jpg"";""food_healthcare1_10_pic5.jpg""]",汪喵星球,寵物益生菌 - 體態管理,"[""體態管理""]","[""2g/30包""]","[""益生菌""]","[""腸胃""]",[650],● 犬貓適用，平衡胖瘦菌叢，打造易瘦體質● 益生元+白腎豆萃取物，穩定血糖血脂● 膳食纖維助腸胃蠕動，清理宿便
"[""food_healthcare1_11_pic1.jpg"";""food_healthcare1_11_pic2.jpg"";""food_healthcare1_11_pic3.jpg""]",陪心寵糧,Plus+機能保健系列 優腎君腎臟保健,"[""優腎君腎臟保健""]","[""1.5g/30入""]","[""""]","[""腸胃""]",[730],以下症狀毛孩可適時補充✔【不愛喝水】✔【熟齡犬貓】✔【吃重口味】✔【經常憋尿】● 台灣專利，毛孩腎臟保健複合乳酸菌● 經產學合作、完整8週腎貓試驗計畫● 蔓越莓萃取物，維持泌尿道黏膜健康● 添加益生元和益生質，增加腎臟、腸道保護力
"[""food_healthcare1_12_pic3.jpg""]",Hyperr 超躍,寵物保健品 - 關節超好,"[""""]","[""30顆/罐"";""90顆/罐""]","[""葡萄醣胺""]","[""關節""]",[380;980],● 打造?節避震器 毛孩走跳有底氣● 挑戰最高濃度GAG● 高活性魚軟骨素● 濃縮25倍活性綠唇貝● 關鍵補充II型膠原蛋白
"[""food_healthcare1_13_pic3.jpg""]",Hyperr 超躍,寵物保健品 - 腸胃超好,"[""""]","[""30入/盒""]","[""益生菌""]","[""腸胃""]",[650],● 培養腸胃小尖兵 毛孩軟便有剋星● 3大菌王 為免疫紮根● 酵素添加 便便超有形● 9大功效 專利益生菌● K.0.毛孩 消化道問題
"[""food_healthcare1_14_pic1.jpg"";""food_healthcare1_14_pic2.jpg""]",Lintbells,關節營養保健 - YuMOVE優骼服 (驚奇版),"[""YuMOVE優骼服 (驚奇版) / 120錠""]","[""""]","[""""]","[""關節""]",[2100],僵硬關節與年老犬隻特別強度的關節支持YuMOVE Plus優骼服驚奇版(犬用)特別強度的天然配方，讓狗狗煥然一新，舒緩僵硬關節，支持關節結構，以及幫助活動力升級每一錠提供：250毫克葡萄糖胺HCl、180毫克綠唇貽貝(含天然軟骨素)、20毫克N-乙醯-D-葡萄糖胺、2毫克玻尿酸、3毫克錳、12.5毫克維生素C、1毫克維生素E● 協助僵硬關節● 關節結構更進一步的支持● 提升活動力
"[""food_healthcare1_15_pic1.jpg"";""food_healthcare1_15_pic2.jpg"";""food_healthcare1_15_pic3.jpg""]",毛孩時代,95%頂級深海魚油,"[""95%頂級深海魚油""]","[""1盒 (30顆)"";""2盒 (60顆)"";""5盒 (150顆)"";""11盒 (330顆)""]","[""""]","[""眼睛""]",[790;1490;3490;7290],● 最高純度95%以上Omega-3● 針對毛孩身體的高吸收rTG型態● 高新鮮度及高純淨度
