圖片,品牌,產品名稱,子分類,口味,規格,價格,產品描述
"[""food_snake1_1_pic1.jpg"";""food_snake1_1_pic2.jpg""]",汪喵星球,即期品專區 - 原肉零食 (多種口味),"[""凍乾拌料"";""即期品專區""]","[""咬咬雞胗50g"";""爆蛋柳葉魚40g""]","[""""]",[120;180],汪喵凍乾小零嘴可常溫保存，因採用目前最好的「冷凍乾燥技術製作」除食材本身營養無其他添加物，給毛孩自然無負擔的寵愛。以上圖文資訊來源：汪喵星球官方網站https://www.dogcatstar.com/
"[""food_snake1_2_pic1.jpg"";""food_snake1_2_pic2.jpg"";""food_snake1_2_pic3.jpg"";""food_snake1_2_pic4.jpg"";""food_snake1_2_pic5.jpg""]",朝貢 조공,深層潔牙骨 (犬用),"[""潔牙骨""]","[""山羊奶""]","[""140g""]",[380],●高度10mm的扁平設計深層式照護潔牙●不會對顳顎關節造成任何壓力●根據實際口腔結構設計的潔牙骨●不用水解蛋白質任何顏料或香料●不硬但可以咀嚼多次的配方
"[""food_snake1_3_pic5.jpg""]",舒服樂,寵兒愛喝水 - 高溶氧水,"[""牛奶飲品""]","[""高溶氧水-300ml""]","[""""]",[35],●高含氧量●無菌●小分子團●無塑膠微粒●品質認證
"[""food_snake1_4_pic1.jpg"";""food_snake1_4_pic2.jpg""]",洛倫滋,寵物蔬果肉泥 (多種口味),"[""肉乾肉條""]","[""紅薯X甜南瓜"";""紅薯X蘋果"";""蜂蜜X草莓"";""山羊奶X草莓"";""紅薯X鴨胸肉"";""紅薯X雞胸肉""]","[""15g/8入""]",[299;330;299;330;299;330;299;330;299;330;299;330],韓國LORENZ推出的寵物蔬果泥系列，由天然水果和蔬菜製成，不含任何添加劑、色素和防腐劑，含有豐富的維生素、礦物質、纖維素和天然抗氧化劑
"[""food_snake1_5_pic1.jpg"";""food_snake1_5_pic2.jpg"";""food_snake1_5_pic3.jpg"";""food_snake1_5_pic4.jpg"";""food_snake1_5_pic5.jpg""]",想比比,超心凍系列凍乾零食 (多種口味),"[""凍乾拌料""]","[""新鮮優質雞胸肉"";""新鮮優質雞里肌"";""高蛋白質火雞肉"";""酥脆爆蛋柳葉魚"";""高鈣海味丁香魚"";""鮮嫩無刺虱目魚"";""紐西蘭綠唇貽貝"";""日本熟食帆立貝"";""特級嚴選鮮大蝦"";""北海道極品干貝"";""酥脆熟凍鮮小卷""]","[""50g""]",[170;170;170;180;180;180;220;220;250;300;180],● 使用頂級的「冷凍乾燥」技術，有別於以往的高溫烘烤更健康！● 想比比選用人食等級的食材製作，天然無添加，奴才們也可以食用哦！● 通過專業認證● 全系列原肉凍乾零食通過重金屬檢驗
"[""food_snake1_6_pic1.jpg"";""food_snake1_6_pic2.jpg""]",陪心寵糧,Oh!Hi!YO無糖優格條 (多種口味),"[""肉泥""]","[""原味"";""起司"";""藍莓"";""雙莓"";""羊乳""]","[""2g/4入""]",[99],●天然無糖優格，日常補鈣好選擇●零食兼保健，四種口味天天吃也不會膩●『專利芽孢乳酸菌』耐胃酸、耐熱、穩定性佳●添加腸道益生元『菊苣纖維』，保護毛孩腸道●無穀物、無防腐劑、無色素，毛孩安心食用●適合全齡犬貓食用
"[""food_snake1_7_pic1.jpg"";""food_snake1_7_pic2.jpg""]",陪心寵糧,初牧頂級鮮羊乳,"[""牛奶飲品""]","[""喝羊奶""]","[""60ml(7入/盒)""]",[390],●嚴選乳源，成分單純，口口濃醇香●豐富礦物質鉀、鈣、鎂，骨骼發育、鈣質補充●脂肪顆粒較牛奶小，毛孩腸胃更好吸收●豐富維生素『葉酸』，有效利用蛋白質及胺基酸●絕無添加澱粉、穀物、香精、色素、防腐劑●已投保產品責任險，適合全齡犬貓食用
"[""food_snake1_8_pic1.jpg"";""food_snake1_8_pic2.jpg""]",咬一口,寵物低磷肉泥 (多種口味),"[""肉泥""]","[""雞肉泥"";""牛肉泥"";""鹿肉泥"";""鴨肉泥"";""鮭魚泥"";""莓果泥"";""蔬菜泥"";""羊肉泥""]","[""40g""]",[59],不只是零食，更是低磷零食及拌藥獎勵好夥伴！●人用級原料●高溫蒸煮殺菌●絕佳鈣磷比●適口性極佳●牛磺酸添加●100%台灣製造
"[""food_snake1_9_pic1.jpg"";""food_snake1_9_pic2.jpg"";""food_snake1_9_pic3.jpg"";""food_snake1_9_pic4.jpg"";""food_snake1_9_pic5.jpg""]",Peperoni,寵物零食肉丁 (多種口味),"[""凍乾拌料""]","[""鮭魚"";""牛肉"";""香濃起司"";""地瓜起司"";""昆布海藻"";""胡蘿蔔地瓜"";""混搭隨身包"";""雞肉""]","[""180g""]",[200;200;200;200;200;200;800;200],"●質地柔軟，高齡犬也能咬得動！●含有維生素Ａ,維生素Ｂ和葡萄糖胺，有助於關節健康●韓國原裝進口！無分裝！最新效期！"
"[""food_snake1_10_pic1.jpg"";""food_snake1_10_pic2.jpg"";""food_snake1_10_pic3.jpg""]",毛孩食務所,毛孩有狗棒 (多種口味),"[""肉乾肉條""]","[""牛肉山藥"";""雞肉茯苓"";""羊肉枸杞""]","[""30g""]",[50],●漢方大補帖加入茯苓、山藥、枸杞●是零食也是補品毛孩潔牙同時滋養身體●肉品經過食藥署檢驗吃的更安心
